Customer ID	Item ID's Purchased
40393970	62533134.
40736107	62606840.
41206017	62678010.
41234720	62640835.
41263510	62603855.
41389480	62605484.
41390892	62536630.
41527400	63068970.
41537300	62831500.
41653480	62882248.
41919968	63287804.
41982082	63302597.
42003292	63395863.
42092552	62539420.
42108360	63274780.
42254677	62876120.
42382550	66100075.
42608450	64148790.
42628403	64005550.
42635258	63648144.
42718613	65860840.
42746660	63911360.
42789610	63681340.
42804710	63637978.
42846073	63659317.
42856007	65371670.
42877605	64601456.
42956040	63639725.
42958763	63647910.
43142730	64496610.
43148952	63717590.
43374233	64062950.
43430440	64387490.
43441387	65004910, 64248730.
43491226	63354700.
43510674	64877846.
43514427	65685080.
43577290	65524506.
43600727	63636680.
43651900	64307130.
43735340	64631160.
43768770	64909530.
43771572	62522564, 62510838.
43773170	64253204.
43788890	64658110.
43892754	62733890.
43923744	64260970.
43954006	64951870.
44025803	64447556.
44078053	62671364.
44146793	63106690.
44157288	63714375.
44228560	65557690.
44237160	65011620.
44247463	63276160.
44302155	64608480.
44304905	64607710.
44305405	65097786.
44441440	64621160.
44463390	64587906.
44472595	65429830.
44585003	65596900.
44864662	63011130.
44948284	64399800.
44968880	64526070.
44974426	66375960.
44978477	66217610.
44991165	63000095.
45043644	66195320.
45064796	65105570.
45066730	65346560.
45134438	65467705.
45145410	65221150.
45190610	63504360.
45343716	65583390.
45349068	65690530.
45351414	65677340.
45370537	65682950.
45387394	65720400.
45451088	63879135.
45474003	65971310, 65982124.
45507260	65615260.
45710130	66109680.
45907005	64579370.
46239845	66145750.
46288260	64459430.
46822975	64456955.
46967484	66902900.
46995605	66898800.
47002563	67281040.
47016090	67234980.
47128407	66872540.
47174240	66606735.
47181267	66841240.
47198467	62814796.
47210930	66976260.
49600191	65067894, 65067894.

